doctor_id,doctor_name,specialty
DR-001,Yuliana Widodo,General Practice
DR-002,Ratih Kusumo,Surgery
DR-003,Aurora Pratama,Internal Medicine
DR-004,Wisnu Tamba,General Practice
DR-005,"R. Emil Hutapea, S.I.Kom",Cardiology
DR-006,dr. Atmaja Rajasa,Pediatrics
DR-007,Intan Irawan,Cardiology
DR-008,Virman Wahyuni,Orthopedics
DR-009,"Taswir Agustina, S.Ked",Neurology
DR-010,Keisha Sihombing,Neurology
DR-011,"Eva Astuti, S.H.",Pediatrics
DR-012,Mustika Putra,Pediatrics
DR-013,"Cut Dalima Lazuardi, S.Pd",Internal Medicine
DR-014,Nurul Santoso,Cardiology
DR-015,H. Jaiman Gunawan,Surgery
DR-016,Gaiman Wahyuni,Pediatrics
DR-017,"R.A. Diana Thamrin, M.Kom.",Internal Medicine
DR-018,Tari Pangestu,Neurology
DR-019,"Tgk. Kuncara Utami, S.Gz",Pediatrics
DR-020,Mitra Mayasari,Surgery
DR-021,Dewi Rahmawati,Surgery
DR-022,"Tgk. Gilda Prasetyo, M.M.",Cardiology
DR-023,Dian Riyanti,Surgery
DR-024,Vanesa Hastuti,Neurology
DR-025,Raden Kusmawati,Orthopedics
DR-026,Ana Budiyanto,Surgery
DR-027,Ika Winarsih,General Practice
DR-028,Cinta Sitorus,General Practice
DR-029,Hasim Santoso,Cardiology
DR-030,"dr. Panji Nainggolan, S.Sos",Cardiology
DR-031,Artanto Lailasari,Pediatrics
DR-032,"Tgk. Lala Budiyanto, S.Psi",Internal Medicine
DR-033,Dadi Gunarto,Neurology
DR-034,Hesti Suwarno,Surgery
DR-035,"Hj. Safina Wijaya, S.E.",Orthopedics
DR-036,Latif Siregar,Internal Medicine
DR-037,Nadia Irawan,Pediatrics
DR-038,Sutan Karta Mansur,Internal Medicine
DR-039,Oman Utami,Orthopedics
DR-040,Putri Firmansyah,Pediatrics
DR-041,Drs. Betania Kuswoyo,Orthopedics
DR-042,"Dr. Rangga Rajata, M.M.",Neurology
DR-043,Kadir Situmorang,Internal Medicine
DR-044,"Umi Mardhiyah, S.I.Kom",Internal Medicine
DR-045,"H. Cager Rahayu, S.T.",Cardiology
DR-046,T. Kairav Nuraini,Orthopedics
DR-047,Qori Samosir,Internal Medicine
DR-048,Abyasa Wulandari,Internal Medicine
DR-049,Calista Wacana,Orthopedics
DR-050,Caraka Rahmawati,Pediatrics
